Summary,Issue key,Issue Type,Project key,Project name,Components,Labels,Description,Outward issue link (Relates),Custom field (Content Type),Custom field (Issue Code),Platforms,Populations,Custom field (Recommended Code),Custom field (Reference(s)),Custom field (Remediation Guidance),Custom field (Severity),WCAG SC,Custom field (Youtube Video URL)
Cursor suggests functionality even when functionality is not present,GUT-78,Bug,GUT,Gutenberg,Edit Media   , ,"Users who mouse over the ""Save"" heading on the Edit Media page see a ""move"" cursor, which suggests to users that the ""Save"" section can be dragged and dropped to somewhere else. However, this is only the case if additional boxes are shown, re-ordering is not possible if ""Save"" is the only visible box (although the element can be dragged, there is nowhere else to drop it).

The use of consistent and relevant cursors may be important for users who have a cognitive disability, since cursors give a visual clue as to an element's functionality. Using the move cursor for elements which cannot be moved may be confusing or counter-intuitive for users.

 !cursor.jpg|alt=External photo of the screen showing a 4-way move cursor as the mouse hovers over the Save heading/dropdown trigger! ",GUT-79,Other,".js .postbox .hndle, .js .widget .widget-top {
    cursor: move;
}",All/ Universal,Cognitively Impaired; Low-Vision ,,,"Only allow the `move` cursor to appear to users when re-ordering is functionally possible.

Ideally, the drag and drop functionality should not be available at all when only one box is present (i.e. it should not even be possible to drag that one box), however this may be unrealistic to fix, and therefore the solution of removing the cursor style will go a long way towards matching user expectations.",Medium,  ,
Text overlaps or is clipped when text spacing or size is enlarged,GUT-77,Bug,GUT,Gutenberg,Edit Media   ,Text; Text_enlarge; ,"On the Edit Media page, users who need to change text spacing (such as distance between words, characters, or lines of text) or who need to enlarge the text (via text settings) are unable to view all the text on the page, due to text overlapping or being clipped by its containers.

The ability to resize or adjust spacing of text is essential for users with low-vision, and may be helpful for users who have a cognitive disability. Catering to zoom alone is not sufficient because the browser's font-size may be increased independently of zoom level.



",,Text Content and Typography,".wp-core-ui .button, .wp-core-ui .button-primary, .wp-core-ui .button-secondary {
    ...
    font-size: 13px;
    line-height: 26px;
    height: 28px;
   ...
}
.image-editor .imgedit-menu .button {
    ...
    width: 32px;
    height: 32px;
    ...
    line-height: 16px;
    ...
}
.imgedit-settings .imgedit-crop-ratio input[type=""text""], .imgedit-settings .imgedit-crop-sel input[type=""text""], .imgedit-settings .imgedit-scale input[type=""text""] {
    width: 50px;
    font-size: 14px;
    padding: 5px 8px;
}
...
.wp-core-ui .quicktags-toolbar input.button.button-small {
    font-size: 12px;
    height: 26px;
    line-height: 24px;
}",All/ Universal,Cognitively Impaired; Low-Vision ,".wp-core-ui .button, .wp-core-ui .button-primary, .wp-core-ui .button-secondary {
    ...
    line-height: 1.5;
    min-height: 44px;
   ...
}
.image-editor .imgedit-menu .button {
    ...
    min-width: 44px;
    min-height: 44px;
    ...
    line-height: 1;
    ...
}
.imgedit-settings .imgedit-crop-ratio input[type=""text""], .imgedit-settings .imgedit-crop-sel input[type=""text""], .imgedit-settings .imgedit-scale input[type=""text""] {
    min-width: 50px;
    ...
    padding: 5px 8px;
}
...
.wp-core-ui .quicktags-toolbar input.button.button-small {
    ...
    min-height: 44px;
    line-height: 1.5;
}",,"Keep width and height minimums to 44px or greater. Set minimum sizes using `min-width` and `min-height`, rather than fixed sizes using `width` and `height`, to allow containers to naturally expand with increases in content size.",Medium,1.4.12 Text Spacing (Level AA); 1.4.4 Resize text (Level AA) ; ,
Field boundaries have insufficient color contrast,GUT-76,Bug,GUT,Gutenberg,Edit Media   ,Contrast_nonText ,"On the Edit Media page, several interactive components have insufficient color contrast for their borders or backgrounds, below the minimum 3:1 for interface components:

* Text input borders: #ddd (light-grey) against #fff (white): *1.35*.
* Checkbox and radio borders: #b4b9be (light grey) against #fff (white): *1.97*.
* Focus shadow for fields and buttons: #5b9dd9 (light blue) on #fff (white): *2.88*.

Sufficient color contrast is important for users who have low-vision or are color-blind, because content with a low contrast ratio may be difficult or impossible for such users to see.

 ",,Color,"input[type=checkbox], input[type=color], input[type=date], input[type=datetime-local], input[type=datetime], input[type=email], input[type=month], input[type=number], input[type=password], input[type=radio], input[type=search], input[type=tel], input[type=text], input[type=time], input[type=url], input[type=week], select, textarea {
    border: 1px solid #ddd;
    box-shadow: inset 0 1px 2px rgba(0,0,0,.07);
    background-color: #fff;
    ...
}

/* radio buttons, checkmarks */
input[type=checkbox], input[type=radio] {
    border: 1px solid #b4b9be;
    ...
}

/* focus state */
input[type=checkbox]:focus, input[type=color]:focus, input[type=date]:focus, input[type=datetime-local]:focus, input[type=datetime]:focus, input[type=email]:focus, input[type=month]:focus, input[type=number]:focus, input[type=password]:focus, input[type=radio]:focus, input[type=search]:focus, input[type=tel]:focus, input[type=text]:focus, input[type=time]:focus, input[type=url]:focus, input[type=week]:focus, select:focus, textarea:focus {
    border-color: #5b9dd9;
    box-shadow: 0 0 2px rgba(30,140,190,.8);
}

/* buttons at top */
.wp-core-ui .button-secondary:focus, .wp-core-ui .button.focus, .wp-core-ui .button:focus {
    box-shadow: 0 0 3px rgba(0,115,170,.8);
}
#screen-meta-links .show-settings {
    border: 0;
    ...
}",All/ Universal,Cognitively Impaired; Low-Vision ,"input[type=checkbox], input[type=color], input[type=date], input[type=datetime-local], input[type=datetime], input[type=email], input[type=month], input[type=number], input[type=password], input[type=radio], input[type=search], input[type=tel], input[type=text], input[type=time], input[type=url], input[type=week], select, textarea {
    border: 1px solid #949494;
    box-shadow: inset 0 1px 2px rgba(0,0,0,.07);
    background-color: #fff;
    ...
}

/* radio buttons, checkmarks */
input[type=checkbox], input[type=radio] {
    border: 1px solid #949494;
    ...
}

/* focus state */
input[type=checkbox]:focus, input[type=color]:focus, input[type=date]:focus, input[type=datetime-local]:focus, input[type=datetime]:focus, input[type=email]:focus, input[type=month]:focus, input[type=number]:focus, input[type=password]:focus, input[type=radio]:focus, input[type=search]:focus, input[type=tel]:focus, input[type=text]:focus, input[type=time]:focus, input[type=url]:focus, input[type=week]:focus, select:focus, textarea:focus {
    border-color: #5999d4;
    box-shadow: 0 0 2px rgba(30,140,190,.8);
    outline: 1px solid transparent;
}

/* buttons at top */
#screen-meta-links .show-settings:focus {
    border: 1px solid #0073aa;
    ...
}",,"Darken the gray borders and the focus shadow color to provide a minimum contrast ratio of 3:1 relative to the white background.

Since `box-shadow` is not shown in High Contrast themes, this should also be supplemented with a transparent `outline` (or replaced with a visible outline).",Low,1.4.11 Non-text Contrast (Level AA)  ,
Button has insufficient color contrast,GUT-75,Bug,GUT,Gutenberg,Edit Media   ,Contrast ,"On the Edit Media page, the ""Scale"" button has insufficient color contrast, below the minimum threshold of 4.5:1 for text:

* Scale button: #fff (white) on #0085ba (light blue): *4.14*.

Sufficient color contrast is important for users who have low-vision or are color-blind, because text with a low contrast ratio may be difficult or impossible for such users to see.

",,Color,".wp-core-ui .button-primary {
    ...
    background: #0085ba;
    color: #fff;
    ...
}",All/ Universal,Low-Vision ; ,".wp-core-ui .button-primary {
    ...
    background: #0074a2;
    color: #fff;
    ...
}",,"Darken the blue background to match the other blues on the page, which have sufficient contrast relative to their white text.",Low,1.4.3 Contrast (Minimum) (Level AA)  ,
Radio and checkbox labels rely on implicit association,GUT-74,Warning,GUT,Gutenberg,Edit Media; Media Dialog,AUX ,"In both the ""Featured Image"" dialog and the Edit Media page, form inputs are wrapped in label elements without explicit association.

Some combinations of browser and assistive technologies do not reliably support implicit association (for example, browsers used with Dragon Naturally Speaking), and so for affected users, the label text may not be announced with the field it relates to.
",,Forms,"<!-- Edit Media -->
<div id=""imgedit-save-target-159"" class=""imgedit-save-target"">
    <fieldset>
        <legend><strong>Apply changes to:</strong></legend>
        <label class=""imgedit-label"">
        <input type=""radio"" name=""imgedit-target-159"" value=""all"" checked=""checked""> All image sizes</label>
        ...
    </fieldset>
</div>

<!-- Media Dialog -->
<div tabindex=""0"" data-id=""159"" class=""attachment-details save-ready needs-refresh"">
    <h2>Attachment Details ... Saved ...</h2>
    <div class=""attachment-info"">...</div>
    <label class=""setting"" data-setting=""url"">
        <span class=""name"">URL</span>
        <input type=""text"" value=""http://142.93.114.99/wp-content/uploads/2019/01/this-is-fine.jpg"" readonly="""">
    </label>
     ...
</div>",Windows - Dragon,Cognitively Impaired; Motor Impaired ,"<!-- Edit Media -->
<div id=""imgedit-save-target-159"" class=""imgedit-save-target"">
    <fieldset>
        <legend><strong>Apply changes to:</strong></legend>
        <label for=""imgedit-radio-1""  class=""imgedit-label"">
            <input id=""imgedit-radio-1"" type=""radio"" name=""imgedit-target-159"" value=""all"" checked=""checked"">
            All image sizes
        </label>
        ...
    </fieldset>
</div>

<!-- Media Dialog -->
<div tabindex=""0"" data-id=""159"" class=""attachment-details save-ready needs-refresh"">
    <h2>Attachment Details ... Saved ...</h2>
    <div class=""attachment-info"">...</div>
    <label for=""imgedit-url"" class=""setting"" data-setting=""url"">
        <span class=""name"">URL</span>
        <input id=""imgedit-url"" type=""text"" value=""http://142.93.114.99/wp-content/uploads/2019/01/this-is-fine.jpg"" readonly="""">
    </label>
     ...
</div>
",https://webaim.org/discussion/mail_thread?thread=7458,Use `for` and `id` attributes to explicitly associate each `<label>` with its field.,Low,  ,
Status message not exposed to assistive technologies,GUT-73,Bug,GUT,Gutenberg,Edit Media   , ,"Within the Edit Media page, when activating the ""Restore Image"" button, a message is shown above the image while the Restore button itself disappears.

Since the button would have been focused at the time when activated by keyboard, this causes the keyboard focus position to be lost and reset to the top of the page.

The message itself is also not announced by screen readers, and may not be visible to screen magnification users if it appears outside their current view.
 ",,Dynamic Content,"<div class=""imgedit-panel-content wp-clearfix"">
    <div class=""error"">
        <p>Cannot save image metadata.</p>
    </div>
    <div class=""imgedit-menu wp-clearfix"">
        ...
    </div>
</div>

...

<div class=""imgedit-panel-content wp-clearfix"">
    <div class=""updated"">
        <p>Image restored successfully.</p>
    </div>
    <div class=""imgedit-menu wp-clearfix"">
        ...
    </div>
</div>",Android - TalkBack; iOS - VoiceOver; Mac - VoiceOver; Windows - Screen Reader ,Blind; Cognitively Impaired; Low-Vision; ,"<div class=""imgedit-panel-content wp-clearfix"">
    <div class=""error"" tabindex=""-1"" role=""alert"">
        <p>Cannot save image metadata.</p>
    </div>
    <div class=""imgedit-menu wp-clearfix"">
        ...
    </div>
</div>

...

<div class=""imgedit-panel-content wp-clearfix"">
    <div class=""updated"" tabindex=""-1"" role=""alert"">
        <p>Image restored successfully.</p>
    </div>
    <div class=""imgedit-menu wp-clearfix"">
        ...
    </div>
</div>",,"Add `tabindex=""-1""` to the message, and then programatically focus it when it appears. This will maintain a logical focus position, and ensure that all visual users will see it, while assistive technologies announce it.

Adding the `alert` role will also help to convey to screen readers that this is an alert-type message.
",Medium,2.1.1 Keyboard (Level A); 4.1.3 Status Messages (Level AA) ; ,
Reading order does not match visual order,GUT-71,Bug,GUT,Gutenberg,Tools and Options   , ,"When assistive technology users are reading through the ""Keyboard Shortcuts"" list, the items in the list are announced differently than their visual order: each shortcut keystroke is announced before its description, even though the description comes first visually.

Users who need an alternative presentation of content benefit from a logical reading order. Users who have a cognitive disability and have difficulty reading may also be confused by an unexpected or illogical reading order when using text-to-speech programs.
",,Keyboard Accessibility and Focus Control,"<dl class=""edit-post-keyboard-shortcut-help__shortcut-list"">
    <div class=""..."">
        <dt class=""edit-post-keyboard-shortcut-help__shortcut-term"">
            <kbd class=""..."">...</kbd>
        </dt>
        <dd class=""edit-post-keyboard-shortcut-help__shortcut-description"">
            Display this help.
        </dd>
    </div>
    ...
</dl>

...

.edit-post-keyboard-shortcut-help__shortcut-term {
    order: 1;
    ...
}
.edit-post-keyboard-shortcut-help__shortcut-description {
    flex: 1;
    order: 0;
    ...
}",All/ Universal,Cognitively Impaired; Low-Vision ,"<dl class=""edit-post-keyboard-shortcut-help__shortcut-list"">
    <div class=""..."">
        <dt class=""edit-post-keyboard-shortcut-help__shortcut-term"">
            Display this help.
        </dt>
        <dd class=""edit-post-keyboard-shortcut-help__shortcut-description"">
            <kbd class=""..."">...</kbd>
        </dd>
    </div>
    ...
</dl>",,"Avoid the use of flexbox `order` properties to change the order of elements, because this change is not reflected in the DOM reading order.

It appears as though this has been done so that the description can be the `<dd>` and the keystroke can be the `<dt>`, however this is not necessary. The description can be considered the term, since it's the primary frame of reference for a  user (i.e. a user wouldn't encounter a keystroke and wonder what function it controls, they would encounter a function and wonder what keystroke can be used for it).

Therefore, the `order` property can be removed, and the markup inverted to use `<dt>` for the description and `<dd>` for the keystroke.
",Low,1.3.2 Meaningful Sequence (Level A)  ,
Single visible menu is made up of multiple menus,GUT-70,Bug,GUT,Gutenberg,Tools and Options   , ,"The Tools and Options menu is split into several sub-groups, each of which uses the ARIA menu pattern, and when a user navigates using the Arrow keys, they are unable to proceed past each group without using Tab (i.e. Arrow keys simple cycle through the items in one sub-group). The user is forced to switch between Tab and Arrow to navigate through the whole menu.

Keyboard users, especially those with cognitive disabilities, may find the current menu unpredictable and inefficient to use, because of its unconventional keystrokes. If they are not using a screen reader, they will not realise that there are multiple separate menus in a single dropdown.

Semantic markup is vital for assistive technology users, to convey the structure and relationships between information. When appropriate semantic markup is not used, it may be more difficult for such users to understand what the content means, and to comprehend the structure that the visual presentation conveys.
 ",,Keyboard Accessibility and Focus Control,"<div tabindex=""-1"" class=""components-popover__content"" style=""max-height: 247.5px;"">
    <div class=""..."">
        <div class=""..."" id=""components-menu-group-label-0"">View</div>
        <div role=""menu"" aria-labelledby=""components-menu-group-label-0"" aria-orientation=""vertical"">
            <button class=""..."" role=""menuitemcheckbox"" aria-checked=""true"" aria-describedby=""edit-post-feature-toggle__info-0"" aria-label=""Top Toolbar"" type=""button"">
                ...
            </button>
            <button class=""..."" role=""menuitemcheckbox"" aria-checked=""false"" aria-describedby=""edit-post-feature-toggle__info-1"" aria-label=""Spotlight Mode"" type=""button"">
                ...
            </button>
            <button class=""..."" role=""menuitemcheckbox"" aria-checked=""false"" aria-describedby=""edit-post-feature-toggle__info-2"" aria-label=""Fullscreen Mode"" type=""button"">
                ...
            </button>
        </div>
    </div>
    <div class=""..."">
        <div class=""..."" id=""..."">Editor</div>
        <div role=""menu"" aria-labelledby=""...."" aria-orientation=""vertical"">
            <button class=""..."" role=""menuitemradio"" aria-checked=""true"" aria-label=""Visual Editor"" type=""button"">
                ...Visual Editor
            </button>
            <button class=""..."" role=""menuitemradio"" aria-checked=""false"" aria-label=""Code Editor"" type=""button"">
                Code Editor...
            </button>
        </div>
    </div>
    <div class=""..."">
        <div class=""..."" id=""..."">Tools</div>
        <div role=""menu"" aria-labelledby=""..."" aria-orientation=""vertical"">
            ...
        </div>
    </div>
    <div class=""..."">
        <div role=""menu"" aria-labelledby=""..."" aria-orientation=""vertical"">
            <button class=""..."" role=""menuitem"" aria-label=""Options"" type=""button"">Options</button>
        </div>
    </div>
</div>",All/ Universal,Blind; Cognitively Impaired; Low-Vision; ,"<div tabindex=""-1"" class=""components-popover__content"" style=""max-height: 247.5px;"">
    <fieldset class=""..."">
        <legend class=""..."" id=""components-menu-group-label-0"">View</legend>
            <div>
                <input type=""checkbox"" id=""edit-post-feature-toggle-0"" aria-describedby=""edit-post-feature-toggle__info-0"">
                <label for=""edit-post-feature-toggle-0"">Top Toolbar""</label>
                <span id=""edit-post-feature-toggle__info-0"" class=""..."">Access all block and document tools in a single place</span>
            </div>
            <div>
                <input type=""checkbox"" id=""edit-post-feature-toggle-1"" aria-describedby=""edit-post-feature-toggle__info-1"">
                <label for=""edit-post-feature-toggle-1"">Spotlight Mode</label>
                <span id=""edit-post-feature-toggle__info-1"" class=""..."">Focus on one block at a time</span>
            </div>
            <div>
                <input type=""checkbox"" id=""edit-post-feature-toggle-2"" aria-describedby=""edit-post-feature-toggle__info-2"">
                <label for=""edit-post-feature-toggle-2"">Fullscreen Mode</label>
                <span id=""edit-post-feature-toggle__info-2"" class=""..."">Work without distraction</span>
        </div>
    </fieldset>
    <fieldset class=""..."">
        <legend class=""..."" id=""..."">Editor</legend>
        <div>
            <input type=""radio"" checked id=""editor_type"">
            <label for=""editor_type"">Visual Editor</label>
        </div>
        <div>
            <input type=""radio"" id=""editor_type-2"" aria-labelledby=""components-shortcut-2"">
            <label for=""editor_type-2"">Code Editor</label>
             <span id=""components-shortcut-2"">Ctrl+Shift+Alt+M</span>
        </div>
    </fieldset>
    <fieldset class=""..."">
        <legend class=""..."" id=""..."">Tools</legend>
        <div>
            <a href=""edit.php?post_type=wp_block"" class=""..."">Manage All Reusable Blocks</a>
            <button type=""button"" class=""...."">Keyboard Shortcuts <span class=""components-menu-item__shortcut"">Shift+Alt+H</span></button>
            <button type=""button"" class=""..."">Copy All Content</button>
        </div>
    </fieldset>
    <fieldsetclass=""..."">
        <button class=""..."" type=""button"">Options</button>
    </fieldset>
</div>",https://github.com/WordPress/gutenberg/issues/12505,"Using a single ARIA menu (https://www.w3.org/TR/wai-aria-practices-1.1/#menu) would be better than multiple ARIA menus, because then it would have consistent keyboard behaviours that are recognisable to both sighted keyboard users and assistive technology users. However this pattern does not have any scope for providing sub-groups and group headings, and the current solution of splitting the menu is potentially confusing for users.

So it may be best to have the ""Tools and Options"" button open a popup, rather than a menu, which contains a form with typical form controls in fieldset groups. This approach is shown in the Recommended Code.

Other possible alternatives to this recommendation are:

* Single unordered-list, where each section is a list-item containing a heading and a child list (navigated via the Tab key, not Arrow keys).
* Popup containing multiple unordered lists grouped with headings.
* Remove the group headings and implement the menu as a single ARIA menu.

In any case, the Options interface should be navigable as a single unit, without needing to switch between Tab and Arrow to navigate through the whole thing.",High,"1.3.1 Info and Relationships (Level A); 2.1.1 Keyboard (Level A); 4.1.2 Name, Role, Value (Level A) ",
Custom interactions in control styled as a native control,GUT-68,Bug,GUT,Gutenberg,Block Panel   ,Forms; Keyboard; ,"In the Block panel, where the font size can be selected, users see what appears to be a select element. However when keyboard users reach this component, they cannot use standard keystrokes to change the value, such as Up-Arrow or Down-Arrow, or Alt+Arrow to open the submenu. Instead, users need to press Enter to view the submenu.

Keyboard users will expect this control to work the same as a native select element. Speech recognition users often speak out keystrokes to perform standard actions on native components, and these would not work on custom components like these.
 ",,Keyboard Accessibility and Focus Control,"<button type=""button"" aria-expanded=""false"" aria-label=""Font size: Normal"" class=""components-button components-font-size-picker__selector is-button is-default is-large"">Normal</button>",All/ Universal,Cognitively Impaired; Low-Vision; Motor Impaired; ,"<fieldset class=""components-base-control__field"">
    <legend class=""components-base-control__label"">Font Size</legend>
    <label for=""font-size-picker"">Choose basic size</label>
    <select id-""font-size-picker"" class=""attachment-filters"">
        <option value=""normal"" >Normal</option>
        ...
    </select>
    <label for=""custom-font-size"">Custom font size</label>
    <input id=""custom-font-size"" class=""components-range-control__number"" type=""number"" value="""">
    <button type=""button"" disabled="""" class=""components-button components-color-palette__clear is-button is-default is-small"">Reset</button>
</fieldset>",,Use a native `<select>` element in place of a custom button+submenu setup.,Medium,2.1.1 Keyboard (Level A)  ,
Missing role on menu item,GUT-67,Bug,GUT,Gutenberg,Tools and Options   , ,"The ""Copy All Content"" menu item is not announced to screen readers as a menu item, it's announced as a button, because it lacks the ""menuitem"" role that the other items have. This also affects the way the menu as a whole is described, since the announced number of items does not include this button.

Assistive technologies rely on role information to understand the purpose of content, and if this information is incomplete or inaccurate it may create a confusing experience for users.

",,"Role, State, and Accessibility Properties","<button class=""components-button components-clipboard-button components-menu-item__button"" type=""button"">Copy All Content</button>",Android - TalkBack; iOS - VoiceOver; Mac - VoiceOver; Windows - Screen Reader ,Blind; Cognitively Impaired; Low-Vision; ,"<button class=""components-button components-clipboard-button components-menu-item__button"" role=""menuitem"" type=""button"">Copy All Content</button>",,"Add `role=""menuitem""` to the `<button>` element, consistent with the other items in the menu.",Low,"4.1.2 Name, Role, Value (Level A)  ",
Icons alone are visible for controls unless they are hovered or focussed,GUT-66,Warning,GUT,Gutenberg,Global   ,AUX ,"Throughout the editor, large icons denote the meaning of controls visually. The buttons have programmatically accessible names, and these names (and their keyboard shortcuts if any) can be made visible by hovering with the mouse or moving keyboard focus to them.

However hovering is an action that cannot be performed on most touch devices, and moving keyboard focus generally requires a keyboard (or something imitating it such as Switch Control). This leaves speech recognition users (who rely on knowing the name of a control for the easiest activation) in the position of needing to manually get focus to the page and then using ""press tab"" to move focus to each control to see (and memorise) the name for later use, or using the more cumbersome Mouse Grid to slowly move the mouse to the desired control.

Touchscreen users with cognitive disabilities have no easy way to learn what controls are going to do before they interact with them.

",,Images and Non-text Content,,All/ Universal,Cognitively Impaired; Motor Impaired ,,,"One solution would be to provide users with a setting, which shows labels in place of (or as well as) icons, similar to Gmail's settings. An example of this can be see at: https://allenpike.com/images/2019/lukew-translate.jpg

This setting would allow users who prefer icons-only to continue to work with icons only, while those who prefer or require text labels would have that option too.
",Low,  ,
Custom field check box automatically changes the context on user focus,GUT-65,Bug,GUT,Gutenberg,Tools and Options   , ,"The ""Custom Fields"" checkbox within the ""Options"" dialog causes an unexpected page refresh when the user selects it, and consequently resets the focus position to the top of the page.

This is not expected behaviour for checkboxes, and the sudden change of context may be confusing for assistive technology users, while the loss of focus position will force keyboard users to manually navigate back to where they were before.
",,Keyboard Accessibility and Focus Control,,All/ Universal,Blind; Cognitively Impaired; Low-Vision; Motor Impaired,,,"If it's not possible to update the page in the background, as happens with other checkboxes in the ""Options"" dialog, then the user should be warned (with visible text, not visually-hidden) that selecting this option will close the options dialog and reload the page.

Alternatively, an ""Apply Changes"" button could be added to the dialog, which confirms the user's changes for all checkboxes (i.e. none of the checkboxes cause background updates or page reloads until the user explicitly presses the Apply button).",High,3.2.5 Change on Request (Level AAA)  ,
Visible labelling only done via placeholder attribute,GUT-64,Warning,GUT,Gutenberg,Media Dialog   ,AUX ,"In the ""Media Library"" panel of the ""Featured Image"" modal dialog, a live search field is available to filter uploaded images and narrow results.

While there is a label element present, it is rendered visually-hidden, while a placeholder with similar text is visually present in the input.

Users who've entered any values must empty the field to see the placeholder text, or otherwise memorise it. Users with cognitive disabilities may have trouble remembering what the filled field does, while speech recognition users cannot see the name they can speak to set focus on the field. Low-vision users with high text-size may not be able to see the whole placeholder even when it's visible, if its value is clipped by the edge of the input.
",,Forms,"<div class=""media-toolbar-primary search-form"">
    <label for=""media-search-input"" class=""screen-reader-text"">Search Media</label>
    <input type=""search"" placeholder=""Search media items..."" id=""media-search-input"" class=""search"">
</div>
...
.screen-reader-text  {
    border: 0;
    clip: rect(1px,1px,1px,1px);
    -webkit-clip-path: inset(50%);
    clip-path: inset(50%);
    height: 1px;
    margin: -1px;
    overflow: hidden;
    padding: 0;
    position: absolute;
    width: 1px;
    word-wrap: normal!important;
}",All/ Universal,Cognitively Impaired; Low-Vision; Motor Impaired; ,,,"Make labels visible instead of using placeholders, as much as possible.",Low,  ,
Live search does not announce results to assistive technologies,GUT-63,Bug,GUT,Gutenberg,Media Dialog   , ,"When users in the ""Featured Image"" modal's ""Media Library"" do a search using the search/filter control, the results change dynamically, however these changes are not announced to screen readers, so blind and low-vision users cannot tell what, if anything, matches the search without manually reading through the image list.

Assistive technologies rely on state information to understand the behaviour of dynamic content, and if this information is incomplete or inaccurate it may create a confusing experience for users.
 ",,Dynamic Content,"<div class=""media-toolbar-primary search-form"">
    <label for=""media-search-input"" class=""screen-reader-text"">Search Media</label>
    <input type=""search"" placeholder=""Search media items..."" id=""media-search-input"" class=""search"">
</div>",Android - TalkBack; iOS - VoiceOver; Mac - VoiceOver; Windows - Screen Reader ,Blind; Cognitively Impaired; Low-Vision; ,,,"Use a live region to announce the number of matched results, updating as users type and delete characters (ideally with a short timeout or throttling so that the announcements don't interfere with user typing).",Medium,4.1.3 Status Messages (Level AA)  ,
Control is invisible,GUT-62,Bug,GUT,Gutenberg,Media Dialog   ,Buttons ,"When users attempt to upload an image in the ""Featured Image"" modal dialog, and receive an error, a close button is present to remove the error message. This button is invisible to most users, although it does have visually-hidden text for screen reader users.

Sighted keyboard-only users will see only the box-shadow when they happen to focus on it, while Window High Contrast users see nothing (because box-shadow is removed by High Contrast themes).


",,Text Content and Typography,"<button type=""button"" class=""button-link upload-dismiss-errors"">
    <span class=""screen-reader-text"">Dismiss Errors</span>
</button>
...
.wp-core-ui .button-link:focus {
    color: #124964;
    box-shadow: 0 0 0 1px #5b9dd9, 0 0 2px 1px rgba(30,140,190,.8);
}",All/ Universal,Cognitively Impaired; Low-Vision; Motor Impaired; ,".wp-core-ui .button-link:before {
    content: ""\f158"";
    font: normal 20px/1 dashicons;
    speak: none;
    vertical-align: middle;
    -webkit-font-smoothing: antialiased;
    -moz-osx-font-smoothing: grayscale;
}
...
.wp-core-ui .button-link:focus {
    color: #124964;
    box-shadow: 0 0 0 1px #5b9dd9, 0 0 2px 1px rgba(30,140,190,.8);
    outline: 1px dotted transparent;
}",,"Add an icon or text to make the button visible, such as an ""x"" icon.

Add an `outline` property to the button when it's focused so that Windows High Contrast keyboard users can see where the focus position is.

Ensure the button is at least 44px by 44px to meet minimum target-size requirements.",High,1.3.3 Sensory Characteristics (Level A); 2.4.7 Focus Visible (Level AA); 2.5.5 Target Size (Level AAA) ,
Errors and field information are not associated with their control,GUT-60,Bug,GUT,Gutenberg,Media Dialog   ,Errors ,"When users attempt to upload an image in the ""Featured Image"" modal dialog, and the image is too large, an error message appears visibly. However blind and low-vision users are not alerted with the announcement, and focus remains on the upload button (except in Edge browser, where focus goes back to the top of the page after a failed upload).

The 2MB limit is also not programmatically associated with the ""Select Files"" button, so blind and low-vision users may miss that limit unless they happen to navigate past the button in exploration of the whole modal.

Users who are zoomed-in or using magnification software may not see the error as it may be outside their viewports. Screen reader users remain on the ""Select Files"" button and need to navigate around to see if there are any errors or if the upload was successful.

",,Forms,"<button type=""button"" class=""browser button button-hero"" id=""__wp-uploader-id-4"" style=""display: inline-block; position: relative; z-index: 1;"">Select Files</button>
...
<div class=""upload-errors"">
    <div class=""upload-error"">
        <span class=""upload-error-filename"">trump.gif</span>
        <span class=""upload-error-message"">trump.gif exceeds the maximum upload size for this site.</span>
    </div>
</div>
...
<div class=""post-upload-ui"">
    <p class=""max-upload-size"">Maximum upload file size: 2 MB.</p>
</div>",Android - TalkBack; iOS - VoiceOver; Mac - VoiceOver; Windows - Screen Reader; Windows - ZoomText; ,Blind; Cognitively Impaired; Low-Vision; ,"<button type=""button"" class=""..."" aria-labelledby=""__wp-uploader-id-4 post-upload-info"" id=""__wp-uploader-id-4"" style=""..."">Select Files</button>
...
<button type=""button"" class=""..."">
    <span class=""screen-reader-text"">Dismiss Errors</span>
</button>
...
<div class=""upload-errors"">
    <div class=""upload-error"" role=""alert"">
        <h3 class=""..."">trump.gif</h3>
        <p class=""..."">trump.gif exceeds the maximum upload size for this site.</p>
    </div>
</div>
...
<div class=""post-upload-ui"" id=""post-upload-info"">
    <p class=""max-upload-size"">Maximum upload file size: 2 MB.</p>
</div>",,"Put `role=alert` on the error, and on any additional error or success messages that are added as users upload media. This will allow screen reader users to know immediately that there is an error.

Consider moving focus to either the error container or the error container close button when the error appears. This will ensure that Braille-only and screen magnification users are alerted that an error has occurred.

Normally, moving focus to errors like this is not advised, however currently the error and the informative text are visually far away from the ""Select Files"" button, and neither Braille nor screen magnification software announce status messages. A better solution is to change the design to bring the error visually directly under the ""Select Files"" button (while still also using a live region on the error message).

Programmatically associate the informative text (""max 2MB size"") with the ""Select Files"" button using `aria-labelledby`. Do this by giving the informative text container an `id` value and set this in order in an `aria-labelledby` attribute on the ""Select Files"" button. Include the button's own `id` token in the `aria-labellebdy` so that the button's text isn't overridden.",High,1.3.1 Info and Relationships (Level A); 1.3.3 Sensory Characteristics (Level A); 3.3.1 Error Identification (Level A); 3.3.2 Labels or Instructions (Level A); 4.1.3 Status Messages (Level AA),
